"ID","PredictedProb"
0,0.144676208496094
1,0.90069717168808
2,0.762811124324799
7,0.696365416049957
10,0.773528635501862
11,0.619989693164825
13,0.936315536499023
14,0.526749491691589
15,0.936111271381378
16,0.852880299091339
17,0.761396586894989
18,0.667807757854462
19,0.877316117286682
20,0.884101688861847
25,0.884828925132751
26,0.853030681610107
29,0.835526883602142
38,0.951273858547211
41,0.937788784503937
44,0.512820899486542
45,0.459123969078064
47,0.661391377449036
48,0.71713250875473
49,0.780066430568695
50,0.877599656581879
53,0.616960287094116
56,0.459358870983124
59,0.849485456943512
60,0.788020431995392
64,0.809518992900848
65,0.963444709777832
66,0.789273202419281
68,0.863945126533508
69,0.668294608592987
70,0.912958145141602
71,0.753463745117188
72,0.573803305625916
76,0.872550070285797
80,0.77076917886734
82,0.858259260654449
83,0.942492067813873
85,0.869755446910858
86,0.809785068035126
87,0.720173716545105
89,0.790379643440247
97,0.833317756652832
99,0.644991815090179
101,0.788147389888763
102,0.446121782064438
103,0.510104358196259
104,0.551438391208649
106,0.97672963142395
107,0.555296063423157
109,0.944773316383362
111,0.392233341932297
113,0.84523069858551
114,0.600851595401764
118,0.878523051738739
119,0.696931302547455
120,0.865786254405975
123,0.755590677261353
128,0.374617278575897
129,0.901028692722321
131,0.986933350563049
133,0.650634527206421
134,0.730493485927582
136,0.941500544548035
137,0.649409711360931
139,0.699190258979797
140,0.900372624397278
142,0.735073804855347
144,0.774801254272461
146,0.902835547924042
147,0.755104899406433
148,0.935014843940735
150,0.18325386941433
151,0.13387793302536
152,0.950464725494385
155,0.960958659648895
158,0.882957279682159
159,0.67171984910965
160,0.980532228946686
161,0.706986427307129
165,0.938367962837219
166,0.546778917312622
170,0.913471579551697
171,0.770900666713715
174,0.592092871665955
175,0.702213406562805
179,0.795927882194519
180,0.912725985050201
181,0.694107115268707
184,0.656398236751556
185,0.487094789743423
187,0.865491926670074
188,0.800922095775604
190,0.813618779182434
191,0.722685515880585
192,0.610991895198822
193,0.829187333583832
196,0.851289629936218
197,0.67855566740036
198,0.557610809803009
205,0.0755955874919891
211,0.88954371213913
213,0.757205724716187
214,0.828971982002258
217,0.606775462627411
218,0.83891749382019
221,0.743227481842041
222,0.575001776218414
225,0.866026401519775
229,0.595614492893219
236,0.705182671546936
237,0.945640206336975
238,0.782675266265869
239,0.958311676979065
242,0.772508800029755
245,0.914295196533203
246,0.819200217723846
247,0.925133466720581
248,0.980141282081604
254,0.905234396457672
